id,movie_name,directed_by,produced_by,starring,music_by,distributed_by,running_time,country,language,edited_by
84,"Charlie, the Lonesome Cougar",Winston Hibler,"Walt Disney, Charles L. Draper",Brian Russell,Franklyn Marks,Buena Vista Distribution,00:01:15,United States,English,Gregg McLaughlin
98,The Barefoot Executive,Robert Butler,Bill Anderson,"Kurt Russell, Joe Flynn, Wally Cox, Heather North, John Ritter, Harry Morgan","Franklyn Marks, Bruce Belland",Buena Vista Distribution,00:01:36,United States,English,Robert Stafford
384,Anaganaga O Dheerudu,Prakash Kovelamudi,Prasad Devineni,"Siddharth, Shruti Haasan, Lakshmi Manchu","Salim–Sulaiman, Mickey J. Meyer, Koti, M. M. Keeravani, Salim–Sulaiman","UTV Motion Pictures, UTV Motion Pictures",,India,Telugu,Shravan Katikaneni
403,Frankenweenie (2012 film),Tim Burton,Allison Abbate,"Catherine OHara, Martin Short, Martin Landau, Charlie Tahan, Atticus Shaffer, Winona Ryder",Danny Elfman,Walt Disney StudiosMotion Pictures,00:01:27,United States,English,Chris Lebenzon
90,The Love Bug,Robert Stevenson,Bill Walsh,"Dean Jones, Michele Lee, David Tomlinson, Buddy Hackett",George Bruns,Buena Vista Distribution,00:01:48,United States,English,Cotton Warburton
261,Max Keeble's Big Move,Tim Hill,Mike Karz,"Alex D. Linz, Larry Miller, Jamie Kennedy, Nora Dunn, Robert Carradine",Michael Wandmacher,Buena Vista Pictures Distribution,00:01:26,United States,English,Tony LombardoPeck Prior
296,Springtime with Roo,"Elliot M. Bour, Saul Andrew Blinkoff",John A. Smith,"Jimmy Bennett, Jim Cummings, John Fiedler, Peter Cullen, Ken Sansom, Kath Soucie",Mark Watters,Walt Disney Home Entertainment,00:01:05,United States,English,
451,Coco (2017 film),Lee Unkrich,Darla K. Anderson,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renée Victor, Ana Ofelia Murguía, Edward James Olmos","Michael Giacchino, Michael Giacchino",Walt Disney StudiosMotion Pictures,00:01:45,United States,English4,Steve Bloom
425,Tinker Bell and the Legend of the NeverBeast,Steve Loter,Makul Wigert,"Mae Whitman, Ginnifer Goodwin, Rosario Dawson, Lucy Liu, Raven-Symoné, Megan Hilty","Joel McNeely, Joel McNeely",Walt Disney StudiosHome Entertainment,00:01:16,United States,English,Margaret Hou
498,Lightyear (film),Angus MacLane,Galyn Susman,"Chris Evans, Keke Palmer, Peter Sohn, Taika Waititi, Dale Soules, James Brolin, Uzo Aduba",Michael Giacchino,Walt Disney StudiosMotion Pictures,00:01:45,United States,English,Anthony J. Greenberg
20,The Sword and the Rose,Ken Annakin,"Perce Pearce, Walt Disney","Glynis Johns, James Robertson Justice, Richard Todd, Michael Gough, Peter Copley, Ernest Jay, D. A. Clarke-Smith, Gérard Oury, Rosalie Crutchley, Bryan Coleman",Clifton Parker,"RKO Radio Pictures Ltd., RKO Radio Pictures Ltd.",00:01:32,United Kingdom  United States,English,Gerald Thomas
165,"Honey, I Shrunk the Kids",Joe Johnston,Penney Finkelman Cox,"Rick Moranis, Matt Frewer",James Horner,Buena Vista Pictures Distribution,00:01:33,United States,English,Michael A. Stevenson
142,Herbie Goes Bananas,Vincent McEveety,Ron Miller,"Cloris Leachman, Charles Martin Smith, Stephan W. Burns, John Vernon, Elyssa Davalos, Joaquin Garay III, Harvey Korman, Richard Jaeckel, Alex Rocco",Frank De Vol,Buena Vista Distribution,00:01:37,United States,English,Gordon D. Brenner
512,Indiana Jones and the Dial of Destiny,James Mangold,"Kathleen Kennedy, Frank Marshall","Harrison Ford, Phoebe Waller-Bridge, Antonio Banderas, John Rhys-Davies, Toby Jones, Boyd Holbrook, Mads Mikkelsen",John Williams,"Walt Disney StudiosMotion Pictures, Walt Disney StudiosMotion Picturesa",00:02:34,United States,English,"Michael McCusker, Andrew Buckland"
409,The Lone Ranger (2013 film),Gore Verbinski,Jerry Bruckheimer,"Johnny Depp, Armie Hammer, Tom Wilkinson, William Fichtner, Barry Pepper, James Badge Dale, Helena Bonham Carter",Hans Zimmer,Walt Disney StudiosMotion Pictures,00:02:29,United States,English,"James Haygood, Craig Wood"
