id,movie_name,directed_by,produced_by,starring,music_by,distributed_by,running_time,country,language,edited_by
426,Cinderella (2015 American film),Kenneth Branagh,"Simon Kinberg, Allison Shearmur, David Barron","Cate Blanchett, Lily James, Richard Madden, Stellan Skarsgård, Holliday Grainger, Derek Jacobi, Helena Bonham Carter",Patrick Doyle,Walt Disney StudiosMotion Pictures,00:01:46,"United StatesUnited Kingdom, United StatesUnited Kingdom",English,Martin Walsh
210,James and the Giant Peach (film),Henry Selick,"Denise Di Novi, Tim Burton","Paul Terry, Simon Callow, Richard Dreyfuss, Jane Leeves, Joanna Lumley, Miriam Margolyes, Susan Sarandon, Pete Postlethwaite, David Thewlis",Randy Newman,"Buena Vista Pictures Distribution, Guild Film Distribution, Buena Vista Pictures Distribution (Worldwide)Guild Film Distribution (United Kingdom)",00:01:19,United KingdomUnited States,English,Stan Webb
435,Tini: The Movie,Juan Pablo Buscarini,Pablo Bossi,"Martina Stoessel, Jorge Blanco, Mercedes Lambre, Clara Alonso, Diego Ramos, Sofia Carson, Ángela Molina",Federico Jusid,Walt Disney Studios Motion Pictures,00:01:39,ArgentinaSpainItaly,Spanish,Pablo Mari
479,Godmothered,Sharon Maguire,Ivan Reitman,"Isla Fisher, Jillian Bell, Jane Curtin",Rachel Portman,"Disney+, Walt Disney Studios Motion Pictures",00:01:50,United States,English,Gary Dollner
440,Queen of Katwe,Mira Nair,Lydia Dean Pilcher,"David Oyelowo, Lupita Nyongo",Alex Heffes,Walt Disney StudiosMotion Pictures,00:02:04,United States,English,Barry Alexander Brown
196,Gargoyles the Movie: The Heroes Awaken,Saburo HashimotoTakamitsu KawamuraKazuo Terada,Frank PaurGreg WeismanLisa A. Salamone,"Thom Adcox-Hernandez, Edward Asner, Jeff Bennett, Clancy Brown, Keith David, Bill Fagerbakke, Jonathan Frakes, Patrick Fraley, Ed Gilbert, Peter Renaday, Salli Richardson, Marina Sirtis, Kath Soucie, Frank Welker",Carl Johnson,"Buena Vista Home Video, Buena Vista Home Video",00:01:32,"United StatesJapan, United StatesJapan",English,Susan Edmunson
168,DuckTales the Movie: Treasure of the Lost Lamp,Bob Hathcock,Bob Hathcock,"Alan Young, Terrence McGovern, Russi Taylor, Richard Libertini, Christopher Lloyd, June Foray, Chuck McCann, Joan Gerber, Rip Taylor",David Newman,"Buena Vista Pictures Distribution, Buena Vista Pictures Distribution",00:01:09,"United States, United States",English,Charles King
438,The BFG (2016 film),Steven Spielberg,"Frank Marshall, Sam Mercer","Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement, Rebecca Hall, Rafe Spall, Bill Hader",John Williams,"Walt Disney StudiosMotion Pictures, Walt Disney StudiosMotion Pictures (Worldwide)Mister Smith Entertainment (EMEA)Reliance Entertainment (India), Mister Smith Entertainment, Walt Disney StudiosMotion Pictures (Worldwide)Mister Smith Entertainment (EMEA)Reliance Entertainment (India), EMEA, India, Walt Disney StudiosMotion Pictures (Worldwide)Mister Smith Entertainment (EMEA)Reliance Entertainment (India)",00:01:58,United States,English,Michael Kahn
200,A Goofy Movie,Kevin Lima,Dan Rounds,"Bill Farmer, Jason Marsden, Jim Cummings, Kellie Martin, Rob Paulsen, Wallace Shawn, Jenna von Oÿ",Carter Burwell,"Buena Vista Pictures Distribution, Buena Vista Pictures Distribution",00:01:18,United States,English,Gregory Perler
241,Inspector Gadget (film),David Kellogg,"Roger Birnbaum, Jordan Kerner","Matthew Broderick, Rupert Everett, Joely Fisher, Michelle Trachtenberg, Mike Hagerty, Andy Dick, Cheri Oteri, Dabney Coleman",John Debney,"Buena Vista Pictures Distribution, Buena Vista Pictures Distribution",00:01:18,United States,English,Thom Noble
414,Muppets Most Wanted,James Bobin,"David Hoberman, Todd Lieberman","Ricky Gervais, Ty Burrell, Tina Fey, Steve Whitmire, Eric Jacobson, Dave Goelz, Bill Barretta, David Rudman, Matt Vogel, Peter Linz","Christophe Beck, Bret McKenzie","Walt Disney Studios Motion Pictures, Walt Disney Studios Motion Pictures",00:01:47,United States,English,James Thomas
373,Waking Sleeping Beauty,Don Hahn,Peter Schneider,"Roy E. Disney, Michael Eisner, Jeffrey Katzenberg, Randy Cartwright, Howard Ashman",Chris P. Bacon,Walt Disney StudiosMotion Pictures,00:01:25,United States,English,Ellen KenesheaVartan NazarianJohn Damien Ryan
46,Jungle Cat (film),James Algar,"Ben Sharpsteen, Walt Disney",,Oliver Wallace,Buena Vista Distribution,00:01:09,United States,English,Norman R. Palmer
476,Magic Camp (film),Mark Waters,Suzanne Todd,"Adam DeVine, Jeffrey Tambor, Gillian Jacobs","Rolfe Kent, Rolfe Kent","Walt Disney Studios Motion Pictures, Walt Disney Studios Motion Pictures",00:01:40,United States,English,Bruce Green
247,The Tigger Movie,Jun Falkenstein,Cheryl Abood,"Jim Cummings, Nikita Hopkins, Ken Sansom, John Fiedler, Peter Cullen, Andre Stojka, Kath Soucie, Tom Attenborough",Harry Gregson-Williams,Buena Vista Pictures Distribution,00:01:17,"United StatesJapan (animation services), United StatesJapan (animation services)",English,"Makoto AraiRobert Fisher, Jr."
355,Tinker Bell (film),Bradley Raymond,Jeannine Roussel,"Mae Whitman, Kristin Chenoweth, Raven-Symoné, Lucy Liu, America Ferrera",Joel McNeely,"Buena Vista Home Entertainment, Buena Vista Home Entertainment",00:01:18,United States,English,Mark W. Rosenbaum
427,Monkey Kingdom,"Mark Linfield, Alastair Fothergill",Mark LinfieldAlastair Fothergill,,"Harry Gregson-Williams, Harry Gregson-Williams",Walt Disney Studios Motion Pictures,00:01:22,United States,English,Andy Netley
523,Lilo & Stitch (upcoming film),Dean Fleischer Camp,Dan Lin,"Zach Galifianakis, Billy Magnussen, Tia Carrere, Courtney B. Vance, Amy Hill, Jason Scott Lee",,Disney+,,United States,English,
514,Dashing Through the Snow,Tim Story,"John Jacobs, Will Packer","Lil Rel Howery, Chris Ludacris Bridges, Teyonah Parris, Oscar Nunez, Mary Lynn Rajskub",Christopher Lennertz,Disney+,00:01:30,United States,English,David ClarkDavid Rennie
524,Tron: Ares,Joachim Rønning,Jared Leto,"Evan Peters, Greta Lee, Jodie Turner-Smith, Cameron Monaghan, Sarah Desjardins",,Walt Disney Studios Motion Pictures,,United States,English,
511,World's Best (film),Roshan Sethi,Thomas Kail,Punam Patel,Jongnic Bontemps,Disney+,00:01:41,United States,English,Jonah Moran
486,Luca (2021 film),Enrico Casarosa,Andrea Warren,"Jacob Tremblay, Jack Dylan Grazer, Emma Berman, Maya Rudolph, Jim Gaffigan",Dan Romer,Walt Disney StudiosMotion Pictures,00:01:35,United States,English,Catherine AppleJason Hudak
516,Diary of a Wimpy Kid Christmas: Cabin Fever,Luke Cormican,Jeff Kinney,"Erica Cerra, Chris Diamantopoulos",John Paesano,Disney+,00:01:02,United StatesCanada,English,
78,The Fighting Prince of Donegal,Michael O'Herlihy,Walt Disney,"Peter McEnery, Susan Hampshire, Tom Adams",George Bruns,Buena Vista Distribution,00:01:50,United Kingdom  United States,English,Peter Boita
348,The Chronicles of Narnia: Prince Caspian,Andrew Adamson,Mark Johnson,"Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Ben Barnes",Harry Gregson-Williams,Walt Disney Studios Motion Pictures,00:02:30,United KingdomUnited States,English,Sim Evan-Jones
356,Bolt (2008 film),"Chris Williams, Byron Howard",Clark Spencer,"John Travolta, Miley Cyrus, Susie Essman, Mark Walton, Malcolm McDowell, James Lipton, Greg Germann",John Powell,Walt Disney StudiosMotion Pictures,00:01:36,United States,English,Tim Mertens
353,High School Musical 3: Senior Year,Kenny Ortega,Bill BordenBarry Rosenbush,"Zac Efron, Vanessa Hudgens, Ashley Tisdale, Lucas Grabeel, Corbin Bleu, Monique Coleman",David Lawrence,Walt Disney Studios Motion Pictures,00:01:52,United States,English,Don Brochu
99,Scandalous John,Robert Butler,Bill Walsh,"Brian Keith, Alfonso Arau, Michele Carey",Rod McKuen,Buena Vista Distribution,00:01:53,United States,English,Cotton Warburton
398,Chimpanzee (film),"Alastair Fothergill, Mark Linfield",Alastair FothergillMark LinfieldAlix Tidmarsh,,Nicholas Hooper,Walt Disney Studios Motion Pictures,00:01:17,United StatesFranceUnited Kingdom,"English, French",Andy Netley
178,Aladdin (1992 Disney film),"John Musker, Ron Clements",John MuskerRon Clements,"Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman, Frank Welker, Gilbert Gottfried, Douglas Seale",Alan Menken,Buena Vista Pictures Distribution,00:01:30,United States,English,H. Lee Peterson
364,Lilly the Witch: The Dragon and the Magic Book,Stefan Ruzowitzky,,"Michael Mittermeier, Pilar Bardem, Anja Kling, Ingo Naujoks",Ian Honeyman,Buena Vista International Germany,00:01:29,Germany,German,
381,Do Dooni Chaar,Habib Faisal,Arindam Chaudhuri,"Rishi Kapoor, Neetu Singh","Meet Bros Anjjan, Ankit Tiwari",Walt Disney Studios Motion Pictures,00:01:48,India,Hindi,Aarti Bajaj
388,Zokkomon,Satyajit Bhatkal,,"Darsheel Safary, Manjari Fadnis, Anupam Kher","Shankar–Ehsaan–Loy, Hitesh Sonik",UTV Motion Pictures,00:01:49,India,Hindi,Suresh Pai
209,Homeward Bound II: Lost in San Francisco,David R. Ellis,Barry Jossen,"Michael J. Fox, Sally Field, Ralph Waite, Robert Hays, Kim Greist, Veronica Lauren, Benj Thall",Bruce Broughton,Buena Vista Pictures Distribution,00:01:29,United States,English,Peter E. Berger
334,The Fox and the Hound 2,Jim Kammerud,Ferrell Barron,"Reba McEntire, Patrick Swayze, Jonah Bobo, Jeff Foxworthy, Vicki Lawrence, Stephen Root",Joel McNeely,Walt Disney Home Entertainment,00:01:09,,English,Jennifer DolceRon Price
342,The Pixar Story,Leslie Iwerks,Leslie Iwerks,"John Lasseter, Brad Bird, Ed Catmull, Steve Jobs",Jeff Beal,Buena Vista Pictures Distribution,00:01:27,,English,"Leslie Iwerks  Stephen Myers, A.C.E"
378,The Crimson Wing: Mystery of the Flamingos,Matthew AeberhardLeander Ward,Paul Webster,,The Cinematic Orchestra,Walt Disney Studios Motion Pictures,00:01:14,"United Kingdom, United States",English,
489,Diary of a Wimpy Kid (2021 film),Swinton Scott,Jeff Kinney,"Brady Noon, Chris Diamantopoulos, Erica Cerra",John Paesano,Disney+,00:00:58,CanadaUnited States,English,Sylvain Blais
448,Ghost of the Mountains,Ben Wallis,Brian Leith,,Barnaby Taylor,Walt Disney Studios Motion Pictures,,United States,English,
465,Noelle (2019 film),Marc Lawrence,Suzanne Todd,"Anna Kendrick, Bill Hader, Kingsley Ben-Adir, Billy Eichner, Julie Hagerty, Shirley MacLaine",Cody FitzgeraldClyde Lawrence,Walt Disney Studios Motion Pictures,00:01:40,United States,English,Hughes Winborne
470,Stargirl (film),Julia Hart,Ellen Goldsmith-Vein,"Grace VanderWaal, Graham Verchere",Rob Simonsen,Disney+,00:01:47,United States,English,Shayar BansaliTracey Wadmore-Smith
491,The Ice Age Adventures of Buck Wild,John C. Donkin,Denise L. Rottina,"Simon Pegg, Utkarsh Ambudkar, Justina Machado, Vincent Tong, Dominique Jennings, Skyler Stone",Batu Sener,Disney+,00:01:22,United StatesCanada,English,Braden Oberson
483,Flora & Ulysses (film),Lena Khan,Gil Netter,"Matilda Lawler, Alyson Hannigan, Ben Schwartz, Anna Deavere Smith, Danny Pudi, Benjamin Evan Ainsworth, Janeane Garofalo, Kate Micucci","Jake Monaco, Jake Monaco",Disney+,00:01:35,United States,English,Jamie Gross
128,The Many Adventures of Winnie the Pooh,"John Lounsbery, Wolfgang Reitherman",Walt Disney,"Sterling Holloway, John Fiedler, Junius Matthews, Paul Winchell, Ralph Wright, Howard Morris, Bruce Reitherman, Jon Walmsley",Buddy Baker,Buena Vista Distribution,00:01:14,United States,English,Tom AcostaJames Melton
471,Dolphin Reef (film),"Alastair Fothergill, Keith Scholey",Roy Conli,,Steven Price,"Walt Disney Studios Motion Pictures, Disney+",00:01:18,United States,English,Martin Elsbury
124,Gus (1976 film),Vincent McEveety,Ron Miller,"Edward Asner, Don Knotts, Gary Grimes, Tim Conway, Liberty Williams, Dick Van Patten, Harold Gould",Robert F. Brunner,Buena Vista Distribution,00:01:35,United States,English,Robert Stafford
320,Kronk's New Groove,"Elliot M. Bour, Saul Andrew Blinkoff",Prudence Fenton,"Patrick Warburton, Tracey Ullman, Eartha Kitt, John Goodman, Wendie Malick, John Mahoney, John Fiedler, David Spade","Mark Watters, Jeanine Tesori",Walt Disney Home Entertainment,00:01:12,United States,English,Philip Malamuth  Arthur D. Noda
58,Almost Angels,Steve Previn,Walt Disney,,Heinz Schreiter,Buena Vista Distribution,00:01:33,United States,English,
362,The Boys: The Sherman Brothers' Story,Gregory V. ShermanJeffrey C. Sherman,"Stuart Cornfeld, Ben Stiller, Stephen Buchsbaum","Richard M. Sherman, Robert B. Sherman",Richard M. ShermanRobert B. Sherman,Walt Disney StudiosMotion Pictures,00:01:41,United States,English,Rich Evirs
263,Mickey's Magical Christmas: Snowed in at the House of Mouse,Roberts GannawayTony Craig,Melinda Rediger,"Wayne Allwine, Tony Anselmo, Bill Farmer, Russi Taylor, Corey Burton, Tress MacNeille, Jodi Benson, Kath Soucie, Samuel E. Wright, Gilbert Gottfried, Pat Carroll, Kevin Schon, Ernie Sabella, Joseph Williams, Jim Cummings",Michael Tavera,Buena Vista Home Entertainment,00:01:05,United StatesPhilippines,English,Ellen Keneshea
121,Ride a Wild Pony,Don Chaffey,Jerome Courtland,"Robert Bettles, Eva Griffith, Michael Craig",John Addison,"Buena Vista Distribution, British Empire Films",00:01:31,United StatesAustralia,English,Mike Campbell
120,The Best of Walt Disney's True-Life Adventures,James Algar,Ben Sharpsteen,,"Paul Smith, Oliver Wallace, Buddy Baker",Buena Vista Distribution,00:01:29,United States,English,Norman Palmer
122,"No Deposit, No Return",Norman Tokar,Ron Miller,"David Niven, Darren McGavin, Don Knotts, Herschel Bernardi, Charles Martin Smith, Barbara Feldon, Kim Richards, Brad Savage",Buddy Baker,Buena Vista Distribution,00:01:52,United States,English,Cotton Warburton
123,Treasure of Matecumbe,Vincent McEveety,"Bill Anderson, Ron Miller","Robert Foxworth, Joan Hackett, Peter Ustinov, Vic Morrow, Dick Van Patten",Buddy Baker,Buena Vista Distribution,00:01:55,United States,English,Cotton Warburton
272,Mickey's House of Villains,Rick Calabash,Melinda Rediger,"Wayne Allwine, Russi Taylor, Tony Anselmo, Bill Farmer, Scott Weinger, Jonathan Freeman, Susanne Blakeslee, Corey Burton, James Woods, Pat Carroll",Michael Tavera,Buena Vista Home Entertainment,00:01:08,United States,English,
25,Davy Crockett: King of the Wild Frontier (film),Norman Foster,Bill Walsh,"Fess Parker, Buddy Ebsen","George Bruns, Edward H. Plumb","Buena Vista Film Distribution Co., Inc.",00:01:33,United States,English,Chester W. Schaeffer
79,"Follow Me, Boys!",Norman Tokar,"Walt Disney, Winston Hibler","Fred MacMurray, Vera Miles, Lillian Gish, Charles Ruggles, Elliott Reid, Kurt Russell, Luana Patten, Ken Murray","George Bruns, Richard M. Sherman, Robert B. Sherman",Buena Vista Distribution,00:02:11,United States,English,Robert Stafford
104,Napoleon and Samantha,Bernard McEveety,Winston Hibler,"Johnny Whitaker, Jodie Foster, Michael Douglas",Buddy Baker,Buena Vista Distribution,00:01:32,United States,English,Robert Stafford
459,Penguins (film),Alastair Fothergill,"Keith Scholey, Roy Conli",,Harry Gregson-Williams,Walt Disney Studios Motion Pictures,00:01:16,United States,English,Andy Netley
245,Toy Story 2,John Lasseter,Helene PlotkinKaren Robert Jackson,"Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger, Annie Potts, Wayne Knight, Laurie Metcalf, Estelle Harris",Randy Newman,Buena Vista Pictures Distribution,00:01:32,United States,English,"David Ian Salter, Lee Unkrich"
103,"Now You See Him, Now You Don''t",Robert Butler,Ron Miller,"Kurt Russell, Cesar Romero, Joe Flynn, Jim Backus, William Windom",Robert F. Brunner,Buena Vista Distribution,00:01:28,United States,English,Cotton Warburton
497,Hollywood Stargirl,Julia Hart,Ellen Goldsmith-Vein,"Grace VanderWaal, Tyrel Jackson Williams, Judy Greer, Judd Hirsch, Uma Thurman","Michael Penn, Rob Simonsen",Disney+,00:01:45,United States,English,Shayar BhansaliTracey Wadmore-Smith
386,Lilly the Witch: The Journey to Mandolan,Harald Sicheritz,,"Pilar Bardem, Anja Kling, Tanay Chheda, Michael Mendl, Lars Rudolph, Ercan Durmaz, Isak Férriz, Michael Mittermeier, Cosma Shiva Hagen",Ian Honeyman,Buena Vista International Germany,00:01:30,Germany,German,
35,Old Yeller (film),Robert Stevenson,Walt Disney,"Dorothy McGuire, Fess Parker, Jeff York, Tommy Kirk, Kevin Corcoran, Beverly Washburn, Chuck Connors","Oliver Wallace, Will Schaefer",Buena Vista Distribution,00:01:24,United States,English,Stanley E. Johnson
22,Rob Roy: The Highland Rogue,Harold French,"Perce Pearce, Walt Disney","Richard Todd, Glynis Johns, James Robertson Justice, Michael Gough, Finlay Currie, Geoffrey Keen",Cedric Thorpe Davie,RKO Radio Pictures,00:01:21,United KingdomUnited States,English,Geoffrey Foot
89,The Horse in the Gray Flannel Suit,Norman Tokar,Winston Hibler,"Dean Jones, Diane Baker, Lloyd Bochner, Fred Clark, Morey Amsterdam, Kurt Russell",George Bruns,"Buena Vista Distribution Co., Inc.",00:01:53,United States,English,Robert Stafford
221,Air Bud,Charles Martin Smith,"Robert Vince, William Vince","Michael Jeter, Kevin Zegers, Wendy Makkena, Eric Christmas, Bill Cobbs, Air Buddy",Brahm Wenger,"Buena Vista Pictures Distribution, Buena Vista Pictures Distribution (via Walt Disney Pictures; United States)Malofilm (Canada), Walt Disney Pictures, Malofilm",00:01:38,United StatesCanada,English,Alison Grace
47,Ten Who Dared,William Beaudine,"Walt Disney, James Algar","Brian Keith, John Beal, James Drury",Oliver Wallace,Buena Vista Distribution,00:01:32,United States,English,"Norman Palmer, Cotton Warburton"
141,The Watcher in the Woods (1980 film),"John Hough, Vincent McEveety",Ron Miller,"Bette Davis, Carroll Baker, David McCallum, Lynn-Holly Johnson, Kyle Richards",Stanley Myers,Buena Vista Distribution,00:01:24,United StatesUnited Kingdom,English,Geoffrey Foot
150,Night Crossing,Delbert Mann,Tom Leetch,"John Hurt, Jane Alexander, Glynnis OConnor, Doug McKeon, Beau Bridges, Ian Bannen",Jerry Goldsmith,Buena Vista Distribution,00:01:47,United KingdomUnited States,English,Gordon D. Brenner
164,Oliver & Company,George Scribner,,"Joey Lawrence, Billy Joel, Natalie Gregory, Cheech Marin, Bette Midler, Robert Loggia, Richard Mulligan, Roscoe Lee Browne, Sheryl Lee Ralph",J. A. C. Redford,Buena Vista Pictures Distribution,00:01:14,United States,English,
8,The Three Caballeros,"Norman Ferguson, Clyde Geronimi, Jack Kinney, Harold Young",Walt Disney,"Joaquin Garay, Clarence Nash, José Oliveira, Aurora Miranda, Carmen Molina, Dora Luz","Edward H. Plumb, Paul J. Smith, Charles Wolcott",RKO Radio Pictures,00:01:11,United States,English,
69,The Three Lives of Thomasina,Don Chaffey,"Ron Miller, Walt Disney","Patrick McGoohan, Karen Dotrice, Susan Hampshire, Matthew Garber",Paul J. Smith,Buena Vista Distribution,00:01:37,United KingdomUnited States,English,Gordon Stone
30,Davy Crockett and the River Pirates,Norman Foster,Bill Walsh,"Fess Parker, Buddy Ebsen, Jeff York","George Bruns, Edward H. Plumb","Buena Vista Film Distribution Co., Inc.",00:01:21,United States,English,Stanley Johnson
76,The Ugly Dachshund,Norman Tokar,"Walt Disney, Winston Hibler","Dean Jones, Suzanne Pleshette, Charlie Ruggles",George Bruns,Buena Vista Distribution,00:01:33,United States,English,Robert Stafford
77,"Lt. Robin Crusoe, U.S.N.",Byron Paul,Ron W. Miller,"Dick Van Dyke, Nancy Kwan",Robert F. Brunner,Buena Vista Distribution,00:01:54,United States,English,Cotton Warburton
40,The Shaggy Dog (1959 film),Charles Barton,Walt Disney,"Fred MacMurray, Jean Hagen, Tommy Kirk, Annette Funicello, Cecil Kellaway, Alexander Scourby, James Westerfield, Jacques Aubuchon",Paul J. Smith,Buena Vista Distribution,00:01:44,United States,English,James Ballas
506,Chang Can Dunk,Jingyi Shao,Lena Waithe,"Dexter Darden, Zoe Renee",Nathan Matthew David,Disney+,00:01:49,United States,English,Brad Turner
162,Benji the Hunted,Joe Camp,Ben Vaughn,"Red Steagall, Frank Inn","Betty Box, Euel Box",Buena Vista Pictures Distribution,00:01:29,United States,English,Karen Thorndike
232,The Jungle Book: Mowgli's Story,Nick Marck,Mark H. Ovitz,"Brandon Baker, Brian Doyle-Murray, Eartha Kitt, Clancy Brown, Peri Gilpin, Sherman Howard",Robert Folk,Buena Vista Home Entertainment,00:01:17,United States,English,Alan Baumgarten
253,The Little Mermaid II: Return to the Sea,Jim Kammerud,David Lovegren,"Jodi Benson, Tara Charendoff, Samuel E. Wright, Pat Carroll, Rob Paulsen, Kenneth Mars, Cam Clarke, Buddy Hackett, Max Casella, Stephen Furst, Clancy Brown",Danny Troob,Walt Disney Home Video,00:01:15,AustraliaCanadaUnited States,English,
288,George of the Jungle 2,David Grossman,"Gregg Hoffman, Jordan Kerner","Thomas Haden Church, Christopher Showerman, Julie Benz, John Cleese, Christina Pickles, Angus T. Jones, John Kassir, Michael Clarke Duncan",J. A. C. Redford,Walt Disney Home Entertainment,00:01:27,United StatesAustralia,English,Alan Cody
266,Cinderella II: Dreams Come True,John Kafka,Mary ThorneMary Alice Drumm,"Jennifer Hale, Corey Burton, Russi Taylor, Christopher Daniel Barnes",Michael Tavera,Walt Disney Home Entertainment,00:01:13,United States,English,Julie Ann Lau
283,Atlantis: Milo's Return,"Victor Cook, Tad Stones",Tad Stones,"James Arnold Taylor, Cree Summer, John Mahoney, Jacqueline Obradors, Don Novello, Corey Burton, Phil Morris, Florence Stanley, Frank Welker, Steve Barr, Clancy Brown, Jean Gilpin, Bill Fagerbakke, Thomas F. Wilson, Floyd Red Crow Westerman, Jeff Bennett, W. Morgan Sheppard",Don Harper,Walt Disney Home Entertainment,00:01:20,United States,English,John Royer
300,America's Heart and Soul,Louis Schwartzberg,Louis Schwartzberg,,Joel McNeely,Buena Vista Pictures Distribution,00:01:24,United States,English,Brian FunckTom McGah
205,Frank and Ollie,Theodore Thomas,Kuniko OkuboTheodore Thomas,"Frank Thomas, Ollie Johnston",John Reynolds,Buena Vista Pictures Distribution,00:01:29,United States,English,Kathryn Camp
220,George of the Jungle (film),Sam Weisman,"David Hoberman, David HobermanJordan KernerJon Avnet, Jordan Kerner, David HobermanJordan KernerJon Avnet, Jon Avnet, David HobermanJordan KernerJon Avnet","Brendan Fraser, Leslie Mann, Thomas Haden Church, Holland Taylor, Richard Roundtree, John Cleese","Marc Shaiman, Marc Shaiman","Buena Vista Pictures Distribution, Buena Vista Pictures Distribution",00:01:32,United States,English1,"Stuart PappéRoger Bondelli, Stuart PappéRoger Bondelli"
337,Meet the Robinsons,Stephen Anderson,Dorothy McKim,"Wesley Singerman, Angela Bassett, Tom Selleck, Harland Williams, Laurie Metcalf, Nicole Sullivan, Adam West, Ethan Sandler, Tom Kenny",Danny Elfman,Buena Vista Pictures Distribution,00:01:35,United States,English,Ellen Keneshea
251,Disney's The Kid,Jon Turteltaub,Hunt Lowry,"Bruce Willis, Spencer Breslin, Emily Mortimer, Lily Tomlin, Chi McBride",Marc Shaiman,Buena Vista Pictures Distribution,00:01:44,United States,English,"Peter Honess, David Rennie"
446,Pirates of the Caribbean: Dead Men Tell No Tales,"Joachim Rønning, Espen Sandberg",Jerry Bruckheimer,"Johnny Depp, Javier Bardem, Geoffrey Rush, Brenton Thwaites, Kaya Scodelario, Kevin McNally",Geoff Zanelli,Walt Disney StudiosMotion Pictures,00:02:09,United States,English,Roger Barton
10,Song of the South,Wilfred Jackson,"Walt Disney, Perce Pearce","Ruth Warrick, Lucile Watson, Hattie McDaniel, James Baskett, Bobby Driscoll, Luana Patten","Daniele Amfitheatrof, Paul J. Smith",RKO Radio Pictures,00:01:34,United States,English,William M. Morgan
428,Tomorrowland (film),Brad Bird,Jeffrey Chernov,"George Clooney, Hugh Laurie, Britt Robertson, Raffey Cassidy, Tim McGraw, Kathryn Hahn, Keegan-Michael Key",Michael Giacchino,"Walt Disney StudiosMotion Pictures, Walt Disney StudiosMotion Pictures",00:02:10,United States,English,"Walter Murch, Craig Wood"
323,Bambi II,Brian Pimental,Jim Ballantine,"Alexander Gould, Patrick Stewart, Nicky Jones, Andrea Bowen, Cree Summer, Keith Ferguson, Makenna Cowgill, Ariel Winter, Brian Pimental, Carolyn Hennesy",Bruce Broughton,"Buena Vista International, Walt Disney Home Entertainment",00:01:12,"United StatesAustralia, United StatesAustralia",English,Jeremy MiltonMark Solomon
340,The Secret of the Magic Gourd (2007 film),John ChuFrankie Chung,Han San PingJohn Chu,,Zhang Hanyun - One Dream張含韻《一人一夢》(Simplified Chinese),"Buena Vista International, China Film Group",00:01:25,China,Chinese,Angie Lam
407,Wings of Life,Louis Schwartzberg,Grady CandlerAlix Tidmarsh,,Bliss,"Walt Disney Studios Motion Pictures France, Walt Disney Studios Home Entertainment",00:01:17,FranceUnited States,"French, English",Jonathan P. Shaw
194,The Santa Clause,John Pasquin,"Brian Reilly, Robert Newmyer","Tim Allen, Judge Reinhold, Wendy Crewson, David Krumholtz, Peter Boyle",Michael Convertino,Buena Vista Pictures Distribution,00:01:37,United States,English,Larry Bock
345,National Treasure: Book of Secrets,Jon Turteltaub,Jerry Bruckheimer,"Nicolas Cage, Jon Voight, Harvey Keitel, Ed Harris, Diane Kruger, Justin Bartha, Bruce Greenwood, Helen Mirren",Trevor Rabin,Walt Disney Studios Motion Pictures,00:02:04,United States,English,"William Goldenberg, David Rennie"
38,Tonka (film),Lewis R. Foster,James C. Pratt,"Sal Mineo, Philip Carey, Jerome Courtland, Rafael Campos",Oliver Wallace,Buena Vista Distribution,00:01:37,United States,English,Ellsworth Hoagland
81,The Adventures of Bullwhip Griffin,James Neilson,"Walt Disney, Walt Disney","Roddy McDowall, Suzanne Pleshette, Karl Malden","Richard M. Sherman, Robert B. Sherman, Mel Leven, George Bruns",Buena Vista Distribution,00:01:50,United States,English,Marsh Hendry
462,The Lion King (2019 film),Jon Favreau,Jon FavreauJeffrey SilverKaren Gilchrist,"Donald Glover, Seth Rogen, Chiwetel Ejiofor, Alfre Woodard, Billy Eichner, John Kani, John Oliver, Beyoncé Knowles-Carter, James Earl Jones",Hans Zimmer,Walt Disney StudiosMotion Pictures,00:01:58,United States,English,Mark Livolsi
290,The Haunted Mansion (2003 film),Rob Minkoff,"Don Hahn, Andrew Gunn","Eddie Murphy, Terence Stamp, Wallace Shawn, Marsha Thomason, Jennifer Tilly",Mark Mancina,"Buena Vista Pictures Distribution, Buena Vista Pictures Distribution",00:01:27,United States,English,Priscilla Nedd-Friendly
9,Make Mine Music,"Jack Kinney, Clyde Geronimi, Hamilton Luske, Joshua Meador","Walt Disney, Joe Grant","Nelson Eddy, Dinah Shore, Benny Goodman, The Andrews Sisters, Jerry Colonna, Andy Russell, Sterling Holloway, David Lichine, Tania Riabouchinskaya, The Pied Pipers, The Kings Men, The Ken Darby Singers","Eliot Daniel, Ken Darby, Charles Wolcott, Oliver Wallace, Edward Plumb",RKO Radio Pictures,00:01:15,United States,English,
41,Darby O'Gill and the Little People,Robert Stevenson,"Bill Anderson, Walt Disney","Albert Sharpe, Janet Munro, Sean Connery, Jimmy ODea, Kieron Moore, Estelle Winwood, Walter Fitzgerald",Oliver Wallace,Buena Vista Distribution,00:01:33,United States,English,Stanley Johnson
